7.842,10.775
7.62,10.933
7.571,11.117
7.554,10.878
7.464,10.932
7.392,11.053
7.363,10.867
7.324,11.647
7.277,10.643
7.268,10.906
7.183,10.796
7.157,10.575
7.155,10.873
7.103,10.776
7.085,11.342
7.069,9.88
7.064,10.707
6.965,10.556
6.951,11.023
6.834,10.823
6.69,10.704
6.647,10.669
6.602,10.674
6.584,10.871
6.561,11.085
6.494,10.743
6.491,10.571
6.483,10.623
6.461,10.529
6.435,9.053
6.431,9.966
6.377,11.488
6.372,9.318
6.331,10.369
6.33,9.577
6.317,9.859
6.309,9.186
6.255,10.499
6.223,10.576
6.189,10.481
6.18,10.35
6.179,8.836
6.172,10.071
6.166,10.382
6.152,10.155
6.14,10.284
6.106,10.817
6.078,9.787
6.061,9.054
6.049,10.008
6.032,10.315
6.012,9.557
5.992,10.358
5.985,9.805
5.972,8.62
5.94,10.611
5.929,9.962
5.929,10.421
5.919,8.648
5.882,10.217
5.88,9.076
5.845,10.651
5.84,9.458
5.813,9.59
5.766,9.454
5.764,9.313
5.744,8.538
5.723,10.279
5.716,9.046
5.677,9.4
5.653,9.448
5.581,9.94
5.545,9.802
5.536,10.576
5.534,9.853
5.477,10.189
5.477,11
5.466,8.091
5.411,8.973
5.41,9.622
5.384,10.238
5.345,9.365
5.342,8.117
5.339,9.673
5.306,8.551
5.283,9.487
5.269,8.12
5.266,10.016
5.198,9.826
5.171,9.569
5.142,8.189
5.132,8.118
5.117,9.52
5.101,9.693
5.088,8.58
5.074,7.098
5.066,9.629
5.051,7.686
5.045,8.087
5.03,8.947
5.025,8.454
4.984,7.838
4.956,9.403
4.948,10.24
4.934,8.458
4.918,8.903
4.892,9.073
4.891,9.585
4.887,9.342
4.875,9.436
4.854,9.24
4.852,9.603
4.834,7.678
4.83,8.36
4.794,7.158
4.759,8.533
4.723,7.744
4.721,9.584
4.636,7.677
4.625,7.288
4.607,8.361
4.596,9.266
4.584,9.626
4.574,9.161
4.517,8.485
4.426,8.541
4.395,9.182
4.355,7.364
4.325,9.47
4.308,9.065
4.289,8.031
4.283,9.367
4.275,7.694
4.227,8.542
4.208,7.396
4.107,7.362
4.073,8.145
3.849,7.434
3.819,8.755
3.775,6.635
3.658,7.578
3.623,7.876
3.615,7.477
3.6,6.958
3.512,7.926
3.467,9.782
3.415,7.676
3.145,7.943
2.523,7.695